zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
11705,US,NY,New York,Suffolk,40.7444,-73.0542,23N,40.758399963378906,-73.05370330810547,1.5572870412541588
11706,US,NY,New York,Suffolk,40.7051,-73.243,KFRG,40.7288017273,-73.41339874270001,14.600902340701934
11707,US,NY,New York,Suffolk,40.7182,-73.3543,KFRG,40.7288017273,-73.41339874270001,5.117925519942335
11709,US,NY,New York,Nassau,40.9074,-73.5601,KHPN,41.06700134277344,-73.70760345458984,21.638778504854123
11710,US,NY,New York,Nassau,40.6729,-73.5365,KFRG,40.7288017273,-73.41339874270001,12.096638450447402
11713,US,NY,New York,Suffolk,40.7733,-72.9469,KHWV,40.821899414099995,-72.86940002440001,8.471257980863298
11714,US,NY,New York,Nassau,40.74,-73.4857,KFRG,40.7288017273,-73.41339874270001,6.2178541610624
11715,US,NY,New York,Suffolk,40.7501,-73.0352,23N,40.758399963378906,-73.05370330810547,1.8113288729661223
11716,US,NY,New York,Suffolk,40.7678,-73.1163,KISP,40.79520035,-73.10019684,3.3348439302265547
11717,US,NY,New York,Suffolk,40.7809,-73.2503,KISP,40.79520035,-73.10019684,12.736707770902603
11718,US,NY,New York,Suffolk,40.728,-73.2646,KFRG,40.7288017273,-73.41339874270001,12.53880265364909
11719,US,NY,New York,Suffolk,40.7843,-72.8921,KHWV,40.821899414099995,-72.86940002440001,4.596764179420007
11720,US,NY,New York,Suffolk,40.8705,-73.0822,KISP,40.79520035,-73.10019684,8.508739939819208
11721,US,NY,New York,Suffolk,40.8929,-73.3754,KFRG,40.7288017273,-73.41339874270001,18.525017354219294
11722,US,NY,New York,Suffolk,40.7866,-73.1961,KISP,40.79520035,-73.10019684,8.130099590835261
11724,US,NY,New York,Suffolk,40.8601,-73.4423,KFRG,40.7288017273,-73.41339874270001,14.801029421583685
11725,US,NY,New York,Suffolk,40.843,-73.2799,KISP,40.79520035,-73.10019684,16.02885771644541
11726,US,NY,New York,Suffolk,40.6778,-73.3963,KFRG,40.7288017273,-73.41339874270001,5.8514343637852315
11727,US,NY,New York,Suffolk,40.885,-73.0069,KISP,40.79520035,-73.10019684,12.700520572765212
11729,US,NY,New York,Suffolk,40.7591,-73.3257,KFRG,40.7288017273,-73.41339874270001,8.120068930364654
11730,US,NY,New York,Suffolk,40.7282,-73.1805,KISP,40.79520035,-73.10019684,10.062141478036846
11731,US,NY,New York,Suffolk,40.857,-73.3146,KFRG,40.7288017273,-73.41339874270001,16.503946963782116
11732,US,NY,New York,Nassau,40.8472,-73.5349,KFRG,40.7288017273,-73.41339874270001,16.672104479549624
11733,US,NY,New York,Suffolk,40.9426,-73.1116,KISP,40.79520035,-73.10019684,16.41811664564643
11735,US,NY,New York,Nassau,40.7315,-73.4327,KFRG,40.7288017273,-73.41339874270001,1.653816342512106
11737,US,NY,New York,Nassau,40.7326,-73.4454,KFRG,40.7288017273,-73.41339874270001,2.729360069247283
11738,US,NY,New York,Suffolk,40.8366,-73.0413,KISP,40.79520035,-73.10019684,6.764423762351598
11739,US,NY,New York,Suffolk,40.7297,-73.1607,KISP,40.79520035,-73.10019684,8.888893809374698
11740,US,NY,New York,Suffolk,40.8621,-73.3646,KFRG,40.7288017273,-73.41339874270001,15.380798094484268
11741,US,NY,New York,Suffolk,40.7964,-73.0718,KISP,40.79520035,-73.10019684,2.3941461881487927
